trade_no,entry_time,exit_time,direction,entry_price,exit_price,rsi_entry,rsi_exit,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
1,2023-08-01 02:00:00,2023-08-02 01:00:00,SHORT,5.09,5.22,37.83,65.14,SL,23.0,-61.04,2.53,-1.46,0.0,1.08,-62.12,-2.48,LOSS,2437.88,1
2,2023-08-02 15:00:00,2023-08-16 20:00:00,SHORT,5.07,4.62,35.64,20.9,TP,341.0,219.76,2.33,-19.85,0.0,-17.52,237.28,9.73,WIN,2675.16,1
3,2023-08-16 22:00:00,2023-08-17 04:00:00,SHORT,4.62,4.78,19.66,51.07,SL,6.0,-91.46,2.72,-0.41,0.0,2.31,-93.78,-3.51,LOSS,2581.38,1
4,2023-08-17 16:00:00,2023-09-11 19:00:00,SHORT,4.67,3.94,38.49,21.94,TP,603.0,406.68,2.38,-35.85,0.0,-33.47,440.15,17.05,WIN,3021.53,1
5,2023-09-11 21:00:00,2023-09-15 13:00:00,SHORT,3.96,4.1,29.84,59.08,SL,88.0,-106.19,3.07,-6.76,0.0,-3.69,-102.5,-3.39,LOSS,2919.04,1
6,2023-09-15 16:00:00,2023-09-18 00:00:00,LONG,4.12,4.02,61.91,29.83,SL,56.0,-67.31,2.89,4.04,0.0,6.92,-74.23,-2.54,LOSS,2844.8,1
7,2023-09-18 02:00:00,2023-09-18 07:00:00,SHORT,4.05,4.14,36.01,54.25,SL,5.0,-61.08,2.88,-0.36,0.0,2.52,-63.59,-2.24,LOSS,2781.21,1
8,2023-09-18 10:00:00,2023-09-21 09:00:00,LONG,4.16,4.06,61.34,33.59,SL,71.0,-64.58,2.75,4.88,0.0,7.63,-72.2,-2.6,LOSS,2709.01,1
9,2023-09-21 11:00:00,2023-10-01 05:00:00,SHORT,4.02,4.12,26.18,73.48,SL,234.0,-67.81,2.74,-16.05,0.0,-13.3,-54.5,-2.01,LOSS,2654.5,1
10,2023-10-01 07:00:00,2023-10-02 18:00:00,LONG,4.15,4.1,74.07,31.22,SL,35.0,-34.34,2.64,2.31,0.0,4.94,-39.29,-1.48,LOSS,2615.21,1
11,2023-10-03 15:00:00,2023-10-11 16:00:00,SHORT,4.1,3.71,37.75,29.33,TP,193.0,250.39,2.49,-12.01,0.0,-9.52,259.92,9.94,WIN,2875.13,1
12,2023-10-11 18:00:00,2023-10-16 05:00:00,SHORT,3.71,3.81,29.77,66.37,SL,107.0,-70.54,2.91,-7.79,0.0,-4.87,-65.67,-2.28,LOSS,2809.46,1
13,2023-10-16 08:00:00,2023-10-17 04:00:00,LONG,3.8,3.73,64.6,42.47,SL,20.0,-51.78,2.78,1.39,0.0,4.18,-55.95,-1.99,LOSS,2753.51,1
14,2023-10-17 11:00:00,2023-10-20 10:00:00,SHORT,3.73,3.8,38.29,74.54,SL,71.0,-55.51,2.78,-4.94,0.0,-2.16,-53.36,-1.94,LOSS,2700.15,1
15,2023-10-20 12:00:00,2023-10-23 15:00:00,LONG,3.76,4.11,71.35,67.35,TP,75.0,255.75,2.83,5.3,0.0,8.13,247.62,9.17,WIN,2947.77,1
16,2023-10-23 17:00:00,2023-11-05 12:00:00,LONG,4.12,4.84,69.66,72.29,TP,307.0,512.89,3.2,24.59,0.0,27.8,485.09,16.46,WIN,3432.86,1
17,2023-11-05 18:00:00,2023-11-09 16:00:00,LONG,4.83,4.6,60.6,35.2,SL,94.0,-163.32,3.35,7.88,0.0,11.23,-174.54,-5.08,LOSS,3258.32,1
18,2023-11-10 03:00:00,2023-11-21 22:00:00,LONG,5.19,4.82,60.35,21.53,SL,283.0,-229.55,3.14,22.24,0.0,25.38,-254.93,-7.82,LOSS,3003.39,1
19,2023-11-22 00:00:00,2023-11-22 17:00:00,SHORT,4.86,5.16,21.32,58.83,SL,17.0,-186.06,3.1,-1.32,0.0,1.78,-187.84,-6.25,LOSS,2815.55,1
20,2023-11-24 08:00:00,2023-11-27 14:00:00,LONG,5.23,5.1,67.19,27.46,SL,78.0,-71.59,2.78,5.42,0.0,8.2,-79.79,-2.83,LOSS,2735.76,1
21,2023-11-27 16:00:00,2023-11-28 17:00:00,SHORT,5.08,5.29,26.51,62.41,SL,25.0,-113.14,2.79,-1.75,0.0,1.05,-114.19,-4.17,LOSS,2621.57,1
22,2023-11-28 20:00:00,2023-12-06 10:00:00,LONG,5.28,6.03,60.07,63.12,TP,182.0,373.26,2.81,12.78,0.0,15.59,357.67,13.64,WIN,2979.24,1
23,2023-12-06 12:00:00,2023-12-09 00:00:00,LONG,5.95,7.21,63.41,89.85,TP,60.0,631.16,3.29,4.94,0.0,8.24,622.92,20.91,WIN,3602.16,1
24,2023-12-09 02:00:00,2023-12-11 02:00:00,LONG,7.3,6.8,80.57,31.46,SL,48.0,-247.77,3.48,4.17,0.0,7.65,-255.42,-7.09,LOSS,3346.74,1
25,2023-12-12 06:00:00,2023-12-18 09:00:00,LONG,6.99,6.54,61.04,32.91,SL,147.0,-213.57,3.24,11.91,0.0,15.15,-228.72,-6.83,LOSS,3118.02,1
26,2023-12-18 11:00:00,2023-12-18 23:00:00,SHORT,6.49,6.88,28.51,60.34,SL,12.0,-186.78,3.21,-0.96,0.0,2.25,-189.03,-6.06,LOSS,2928.99,1
27,2023-12-19 02:00:00,2023-12-19 17:00:00,LONG,6.98,6.64,64.84,34.48,SL,15.0,-139.82,2.86,1.07,0.0,3.93,-143.75,-4.91,LOSS,2785.24,1
28,2023-12-20 09:00:00,2023-12-21 18:00:00,LONG,6.92,8.11,60.5,82.13,TP,33.0,481.56,3.03,2.5,0.0,5.52,476.03,17.09,WIN,3261.28,1
29,2023-12-21 20:00:00,2023-12-23 02:00:00,LONG,8.24,7.61,82.94,32.69,SL,30.0,-248.46,3.14,2.35,0.0,5.49,-253.95,-7.79,LOSS,3007.32,1
30,2023-12-23 21:00:00,2024-01-03 12:00:00,LONG,8.05,7.66,62.42,20.65,SL,255.0,-147.69,2.93,18.7,0.0,21.63,-169.33,-5.63,LOSS,2838.0,1
31,2024-01-03 14:00:00,2024-01-11 07:00:00,SHORT,7.59,8.38,19.58,75.11,SL,185.0,-294.89,2.99,-13.81,0.0,-10.82,-284.07,-10.01,LOSS,2553.92,1
32,2024-01-11 09:00:00,2024-01-12 16:00:00,LONG,8.37,7.71,75.67,32.61,SL,31.0,-202.42,2.45,1.9,0.0,4.35,-206.77,-8.1,LOSS,2347.16,1
33,2024-01-12 22:00:00,2024-02-27 13:00:00,SHORT,7.64,8.19,31.78,62.95,SL,1095.0,-167.5,2.43,-66.55,0.0,-64.12,-103.38,-4.4,LOSS,2243.77,1
34,2024-02-27 15:00:00,2024-02-28 17:00:00,LONG,8.2,7.87,64.22,47.9,SL,26.0,-92.08,2.2,1.43,0.0,3.63,-95.7,-4.27,LOSS,2148.07,1
35,2024-02-29 07:00:00,2024-02-29 22:00:00,LONG,8.61,8.05,62.22,34.47,SL,15.0,-140.85,2.08,0.78,0.0,2.86,-143.71,-6.69,LOSS,2004.36,1
36,2024-03-01 23:00:00,2024-03-04 13:00:00,LONG,8.62,10.27,61.35,55.15,TP,62.0,383.1,2.2,3.4,0.0,5.6,377.5,18.83,WIN,2381.86,1
37,2024-03-04 16:00:00,2024-03-05 19:00:00,LONG,10.16,9.35,61.63,25.32,SL,27.0,-190.11,2.29,1.54,0.0,3.83,-193.94,-8.14,LOSS,2187.92,1
38,2024-03-05 21:00:00,2024-03-06 07:00:00,SHORT,8.87,10.28,24.95,61.52,SL,10.0,-348.93,2.36,-0.59,0.0,1.77,-350.7,-16.03,LOSS,1837.22,1
39,2024-03-06 19:00:00,2024-03-17 07:00:00,LONG,10.36,9.35,61.53,31.6,SL,252.0,-180.27,1.75,11.01,0.0,12.75,-193.02,-10.51,LOSS,1644.2,1
40,2024-03-18 11:00:00,2024-03-18 17:00:00,LONG,10.38,9.68,60.22,41.5,SL,6.0,-111.15,1.59,0.24,0.0,1.83,-112.98,-6.87,LOSS,1531.22,1
41,2024-03-18 19:00:00,2024-04-12 18:00:00,SHORT,9.7,6.68,39.22,7.05,TP,599.0,477.28,1.29,-19.36,0.0,-18.06,495.35,32.35,WIN,2026.57,1
42,2024-04-12 20:00:00,2024-05-22 00:00:00,SHORT,6.92,7.7,23.42,62.06,SL,940.0,-228.82,2.14,-50.31,0.0,-48.17,-180.65,-8.91,LOSS,1845.92,1
43,2024-05-22 02:00:00,2024-05-23 12:00:00,LONG,7.65,7.35,62.96,39.67,SL,34.0,-71.43,1.81,1.54,0.0,3.35,-74.78,-4.05,LOSS,1771.14,1
44,2024-05-23 15:00:00,2024-05-26 14:00:00,SHORT,7.19,7.56,30.3,69.49,SL,71.0,-90.22,1.82,-3.22,0.0,-1.41,-88.81,-5.01,LOSS,1682.33,1
45,2024-05-26 16:00:00,2024-05-28 07:00:00,LONG,7.58,7.36,69.02,34.94,SL,39.0,-50.04,1.66,1.62,0.0,3.27,-53.32,-3.17,LOSS,1629.01,1
46,2024-05-28 13:00:00,2024-06-07 18:00:00,SHORT,7.37,6.24,39.26,19.72,TP,245.0,248.2,1.5,-9.22,0.0,-7.71,255.92,15.71,WIN,1884.93,1
47,2024-06-07 20:00:00,2024-07-31 17:00:00,SHORT,6.59,5.49,23.78,41.64,OPEN,1293.0,314.49,1.73,-55.85,0.0,-54.12,368.61,19.56,WIN,2253.54,1
